id,name,state,created_at,dataset,variant,seed,sigma_from_name,sparsity_from_name,sigma_from_config,sparsity_from_config,max_epoch,final_acc_train,final_acc_valid,max_acc_valid,final_acc_test,max_acc_test,acc_test_nonzero,has_sparsity_metric,metric_key_count,flags
klvshqq2,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0.96,finished,2026-03-07T05:55:10Z,shd,main_delaydrop,1,2.0,0.96,0,0,149,0.2196843927556818,0.209667566872428,0.2556745113168724,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
tmb134nw,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0,finished,2026-03-07T05:55:41Z,shd,main_delaydrop,2,2.0,0.0,0,0,149,0.6452348188920455,0.4544110082304527,0.5182452417695473,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
kj79trwv,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=2||sparsity_p=0.96,finished,2026-03-07T07:53:44Z,shd,main_delaydrop,2,2.0,0.96,0,0,149,0.2043878728693182,0.2026588220164609,0.24797453703703706,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
mn3wx4w5,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0,finished,2026-03-07T07:53:44Z,shd,main_delaydrop,0,5.0,0.0,0,0,149,0.6059037642045455,0.37176890432098764,0.44820601851851855,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
2zvp3i6i,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0,finished,2026-03-07T09:42:46Z,shd,main_delaydrop,1,5.0,0.0,0,0,149,0.6048095703125,0.37157600308641975,0.47778420781893005,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
4ayxucz5,MainResultDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0.96,finished,2026-03-07T09:43:28Z,shd,main_delaydrop,0,5.0,0.96,0,0,149,0.19116654829545454,0.22810570987654322,0.24004951131687247,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
grmho3gg,MainResultDelayDrop||seed=1||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0.96,finished,2026-03-07T11:24:53Z,shd,main_delaydrop,1,5.0,0.96,0,0,149,0.2002374822443182,0.19801311728395063,0.23543595679012347,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
n0uw4dwu,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0,finished,2026-03-07T11:24:53Z,shd,main_delaydrop,2,5.0,0.0,0,0,149,0.5949684836647727,0.4375643004115226,0.47292952674897115,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config
yupoj848,MainResultDelayDrop||seed=2||snn_delays||shd||10ms||bins=5||sigma_drop=5||sparsity_p=0.96,finished,2026-03-07T13:02:10Z,shd,main_delaydrop,2,5.0,0.96,0,0,149,0.19271129261363637,0.16145833333333334,0.23659336419753085,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sigma_mismatch_name_vs_config|sparsity_mismatch_name_vs_config
yo2fbnze,BaselineDelayDrop||seed=0||snn_delays||shd||10ms||bins=5||sigma_drop=0||sparsity_p=0.96,finished,2026-03-11T18:23:32Z,shd,baseline_delay,0,0.0,0.96,0,0,149,0.26793989701704546,0.23935828189300412,0.3109246399176955,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config|sparsity_mismatch_name_vs_config
6i5v6k0f,BaselineNoDelayDrop||seed=0||snn_delays||shd||10ms||bins=5,finished,2026-03-16T21:36:49Z,shd,baseline_no_delay,0,,,,0.96,149,0.26830610795454546,0.19478202160493827,0.2748842592592593,0.0,0.0,False,False,29,shd_acc_test_flat_zero|missing_dataset_in_config
cpvo56hh,BaselineNoDelayDrop||seed=0||snn_delays||ssc||10ms||bins=5,running,2026-03-17T11:55:28Z,ssc,baseline_no_delay,0,,,,0.98,103,0.1324384596828327,0.15045614485152528,0.1749308775463667,0.14235067246835445,0.17130204212816455,True,False,29,missing_dataset_in_config
