model,sigma_test,acc_mean,acc_std
baseline,0.000000,0.37076832,0.00000000
baseline,0.050000,0.37253459,0.00140563
baseline,0.100000,0.37186733,0.00334400
baseline,0.250000,0.37037582,0.00413551
baseline,0.500000,0.36400746,0.00358749
candidate,0.000000,0.35447944,0.00000000
candidate,0.050000,0.35734472,0.00164828
candidate,0.100000,0.35866941,0.00269634
candidate,0.250000,0.35221274,0.00614046
candidate,0.500000,0.33954470,0.00658128
