model,sigma_test,acc_mean,acc_std
baseline,0.000000,0.37076832,0.00000000
baseline,0.050000,0.37430085,0.00000000
baseline,0.100000,0.37130802,0.00000000
baseline,0.250000,0.37081739,0.00000000
baseline,0.500000,0.37528211,0.00000000
candidate,0.000000,0.36036699,0.00000000
candidate,0.050000,0.37081739,0.00000000
candidate,0.100000,0.36792268,0.00000000
candidate,0.250000,0.37910902,0.00000000
candidate,0.500000,0.37130802,0.00000000
